0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
GFS 13 km,Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h)
GFS 13 km,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h
22.11.2008,9,10,13,13,14,16,18,20,1.6,1.7,2,2.2,2.4,2.6,3,3.3,,,,,,,,,8,7,7,7,8,8,8,8,15,15,14,15,18,18,16,16,,,,,,,,
23.11.2008,15,13,13,12,10,12,15,16,3.4,3.2,3,2.7,2.5,2.4,2.4,2.4,,,,,,,,,8,8,8,8,8,8,8,8,15,14,14,14,17,17,16,15,,,,,,,,
24.11.2008,14,12,17,19,21,24,24,22,2.3,2.2,2.1,2.2,2.5,3.2,3.5,4.4,,,,,,,,,8,8,8,7,7,8,8,9,15,15,16,15,14,14,15,13,,,,,,,0.1,0.2
25.11.2008,16,15,15,19,22,22,18,21,5.1,5.5,5.5,5.6,5.7,5.6,5.5,5.1,,,,,,,,,11,12,13,13,13,13,13,13,14,13,13,13,14,14,14,13,,,0.1,,,,,
26.11.2008,17,15,14,14,15,16,17,16,4.7,4.3,3.9,3.6,3.3,3.1,2.9,2.7,,,,,,,,,13,12,12,12,12,11,11,11,11,10,9,10,12,13,12,11,,,,,,,,
27.11.2008,12,11,11,11,8,9,9,7,2.5,2.3,2.1,2,1.9,1.8,1.7,1.6,,,,,,,,,11,10,10,10,10,10,10,9,10,10,9,10,13,14,12,11,,,,,,,,
28.11.2008,8,10,9,10,17,18,20,26,1.5,1.5,1.5,1.4,1.5,1.8,2.3,3.1,,,,,,,,,9,9,9,12,12,5,6,7,11,12,12,14,14,14,14,13,,0.1,,,0.3,1,0.3,0.8
29.11.2008,25,24,25,24,22,23,21,16,3.9,4.7,5.3,6,6.3,6.4,6.5,6.2,,,,,,,,,8,9,10,11,12,12,13,13,12,12,12,12,12,12,12,11,1.8,0.4,0.4,0.7,0.7,0.6,0.4,0.7
30.11.2008,18,19,17,16,15,17,19,17,5.9,5.7,5.6,5.4,5.3,5.2,5.2,5.3,,,,,,,,,13,12,12,12,12,12,12,12,10,10,10,11,12,11,11,11,1.2,0.5,0.4,0.3,0.3,0.5,0.2,0.2
