0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
GFS 13 km,GFS 13 km,22.11.2008,23.11.2008,24.11.2008,25.11.2008,26.11.2008,27.11.2008,28.11.2008,29.11.2008,30.11.2008,01.12.2008,02.12.2008,03.12.2008,04.12.2008,05.12.2008,06.12.2008,07.12.2008,08.12.2008,09.12.2008,10.12.2008,11.12.2008,12.12.2008,13.12.2008,14.12.2008,15.12.2008,16.12.2008,17.12.2008,18.12.2008,19.12.2008,20.12.2008,21.12.2008,22.12.2008,23.12.2008,24.12.2008,25.12.2008,26.12.2008,27.12.2008,28.12.2008,29.12.2008,30.12.2008,31.12.2008,01.01.2009,02.01.2009,03.01.2009,04.01.2009,05.01.2009,06.01.2009,07.01.2009,08.01.2009,09.01.2009,10.01.2009,11.01.2009,12.01.2009,13.01.2009,14.01.2009,15.01.2009,16.01.2009,17.01.2009,18.01.2009,19.01.2009,20.01.2009,21.01.2009,22.01.2009,23.01.2009,24.01.2009,25.01.2009,26.01.2009,27.01.2009,28.01.2009,29.01.2009,30.01.2009,31.01.2009,01.02.2009,02.02.2009,03.02.2009,04.02.2009,05.02.2009,06.02.2009,07.02.2009,08.02.2009,09.02.2009,10.02.2009,11.02.2009,12.02.2009,13.02.2009,14.02.2009,15.02.2009,16.02.2009,17.02.2009,18.02.2009,19.02.2009,20.02.2009,21.02.2009,22.02.2009,23.02.2009,24.02.2009,25.02.2009,26.02.2009,27.02.2009,28.02.2009,01.03.2009,02.03.2009,03.03.2009,04.03.2009,05.03.2009,06.03.2009,07.03.2009,08.03.2009,09.03.2009,10.03.2009,11.03.2009,12.03.2009,13.03.2009,14.03.2009,15.03.2009,16.03.2009,17.03.2009,18.03.2009,19.03.2009,20.03.2009,21.03.2009,22.03.2009,23.03.2009,24.03.2009,25.03.2009,26.03.2009,27.03.2009,28.03.2009,29.03.2009,30.03.2009,31.03.2009,01.04.2009,02.04.2009,03.04.2009,04.04.2009,05.04.2009,06.04.2009,07.04.2009,08.04.2009,09.04.2009,10.04.2009,11.04.2009,12.04.2009,13.04.2009,14.04.2009,15.04.2009,16.04.2009,17.04.2009,18.04.2009,19.04.2009,20.04.2009,21.04.2009,22.04.2009,23.04.2009,24.04.2009,25.04.2009,26.04.2009,27.04.2009,28.04.2009,29.04.2009,30.04.2009,01.05.2009,02.05.2009,03.05.2009,04.05.2009,05.05.2009,06.05.2009,07.05.2009,08.05.2009,09.05.2009,10.05.2009,11.05.2009,12.05.2009,13.05.2009,14.05.2009,15.05.2009,16.05.2009,17.05.2009,18.05.2009,19.05.2009,20.05.2009,21.05.2009,22.05.2009,23.05.2009,24.05.2009,25.05.2009,26.05.2009,27.05.2009,28.05.2009,29.05.2009,30.05.2009,31.05.2009,01.06.2009,02.06.2009,03.06.2009,04.06.2009,05.06.2009,06.06.2009,07.06.2009,08.06.2009,09.06.2009,10.06.2009,11.06.2009,12.06.2009,13.06.2009,14.06.2009,15.06.2009,16.06.2009,17.06.2009,18.06.2009,19.06.2009,20.06.2009,21.06.2009,22.06.2009,23.06.2009,24.06.2009,25.06.2009,26.06.2009,27.06.2009,28.06.2009,29.06.2009,30.06.2009,01.07.2009,02.07.2009,03.07.2009,04.07.2009,05.07.2009,06.07.2009,07.07.2009,08.07.2009,09.07.2009,10.07.2009,11.07.2009,12.07.2009,13.07.2009,14.07.2009,15.07.2009,16.07.2009,17.07.2009,18.07.2009,19.07.2009,20.07.2009,21.07.2009,22.07.2009,23.07.2009,24.07.2009,25.07.2009,26.07.2009,27.07.2009,28.07.2009,29.07.2009,30.07.2009,31.07.2009,01.08.2009,02.08.2009,03.08.2009,04.08.2009,05.08.2009,06.08.2009,07.08.2009,08.08.2009,09.08.2009,10.08.2009,11.08.2009,12.08.2009,13.08.2009,14.08.2009,15.08.2009,16.08.2009,17.08.2009,18.08.2009,19.08.2009,20.08.2009,21.08.2009,22.08.2009,23.08.2009,24.08.2009,25.08.2009,26.08.2009,27.08.2009,28.08.2009,29.08.2009,30.08.2009,31.08.2009,01.09.2009,02.09.2009,03.09.2009,04.09.2009,05.09.2009,06.09.2009,07.09.2009,08.09.2009,09.09.2009,10.09.2009,11.09.2009,12.09.2009,13.09.2009,14.09.2009,15.09.2009,16.09.2009,17.09.2009,18.09.2009,19.09.2009,20.09.2009,21.09.2009,22.09.2009,23.09.2009,24.09.2009,25.09.2009,26.09.2009,27.09.2009,28.09.2009,29.09.2009,30.09.2009,01.10.2009,02.10.2009,03.10.2009,04.10.2009,05.10.2009,06.10.2009,07.10.2009,08.10.2009,09.10.2009,10.10.2009,11.10.2009,12.10.2009,13.10.2009,14.10.2009,15.10.2009,16.10.2009,17.10.2009,18.10.2009,19.10.2009,20.10.2009,21.10.2009,22.10.2009,23.10.2009,24.10.2009,25.10.2009,26.10.2009,27.10.2009,28.10.2009,29.10.2009,30.10.2009,31.10.2009,01.11.2009,02.11.2009,03.11.2009,04.11.2009,05.11.2009,06.11.2009,07.11.2009,08.11.2009,09.11.2009,10.11.2009,11.11.2009,12.11.2009,13.11.2009,14.11.2009,15.11.2009,16.11.2009,17.11.2009,18.11.2009,19.11.2009,20.11.2009,21.11.2009,22.11.2009,23.11.2009,24.11.2009,25.11.2009,26.11.2009,27.11.2009,28.11.2009,29.11.2009,30.11.2009,01.12.2009,02.12.2009,03.12.2009,04.12.2009,05.12.2009,06.12.2009,07.12.2009,08.12.2009,09.12.2009,10.12.2009,11.12.2009,12.12.2009,13.12.2009,14.12.2009,15.12.2009,16.12.2009,17.12.2009,18.12.2009,19.12.2009,20.12.2009,21.12.2009,22.12.2009,23.12.2009,24.12.2009
Wind speed (knots),00h,9,15,14,16,17,12,8,25,18,19,15,9,15,13,3,18,8,18,24,15,16,9,22,20,16,13,12,9,7,9,6,8,6,5,5,9,16,11,12,24,8,4,11,7,10,10,12,11,4,4,9,6,17,8,19,15,7,4,15,21,15,18,21,24,17,24,7,13,12,22,21,29,3,16,20,10,16,11,11,9,9,13,12,7,7,10,5,7,8,7,5,5,12,6,5,7,6,8,3,5,7,9,16,28,16,15,17,16,8,7,8,7,11,11,7,9,10,2,2,10,7,10,4,6,11,13,19,25,20,10,7,10,12,10,11,7,15,8,5,18,7,14,7,8,10,14,10,6,13,8,10,9,10,12,19,10,13,11,8,7,17,14,13,12,10,7,7,12,10,8,18,8,8,15,17,8,11,15,15,14,10,5,4,11,13,15,18,11,8,12,5,3,5,8,8,6,8,8,15,8,10,5,15,11,11,14,12,13,14,13,10,9,6,6,5,6,6,3,15,8,6,4,9,5,7,3,13,17,16,14,16,12,8,12,11,8,8,17,19,16,12,8,7,12,7,12,14,13,16,11,10,11,6,15,14,11,9,14,16,16,17,15,11,9,8,8,9,14,15,15,12,8,16,20,13,12,11,7,6,16,15,9,7,13,14,5,12,16,14,15,11,14,7,7,7,8,6,9,11,15,10,8,8,14,8,10,11,9,8,3,9,9,6,2,5,3,3,11,13,17,7,6,11,15,8,8,3,10,6,8,6,5,12,14,26,5,8,3,6,5,4,6,8,2,4,18,12,11,17,15,12,18,14,12,5,7,13,19,15,8,12,12,5,14,17,8,5,4,8,8,8,2,20,19,9,15,20,10,7,19,15,2,7,6,11,12,7,13,6,22,12,8,14,12,16,19,16,21
Wind speed (knots),03h,10,13,12,15,15,11,10,24,19,19,15,12,7,12,5,15,8,23,22,13,16,10,25,19,12,11,11,7,9,10,6,9,7,5,5,7,18,12,14,26,8,5,11,7,9,11,12,11,4,8,9,6,17,3,22,15,5,7,14,23,14,21,21,21,19,25,7,12,12,24,20,16,6,12,22,7,20,7,9,11,8,13,8,8,7,8,6,5,4,6,7,4,12,5,4,6,8,8,2,4,6,10,18,30,16,17,15,13,6,6,7,6,9,10,5,10,13,5,1,9,5,8,7,5,8,11,19,22,20,8,7,8,11,9,10,4,14,6,2,22,7,12,4,6,12,16,10,7,14,7,9,8,7,12,16,12,10,11,6,9,15,11,9,7,8,7,7,10,7,5,16,8,6,16,16,6,11,13,13,13,7,7,5,10,11,15,14,10,9,7,4,1,4,8,7,5,11,8,18,7,10,5,14,14,11,14,12,12,13,12,7,7,7,6,4,6,4,5,11,9,5,3,8,2,7,3,11,16,14,13,15,10,5,12,11,7,4,17,18,14,10,6,10,11,7,13,14,14,14,9,10,9,6,13,13,9,7,13,15,15,18,14,11,8,7,8,9,13,12,13,10,8,17,19,11,11,10,5,5,17,12,7,5,12,13,5,11,16,13,14,10,11,7,6,7,6,6,9,10,15,14,7,11,13,6,7,8,8,6,2,8,7,3,4,4,3,4,11,12,15,6,6,11,13,7,8,5,8,6,8,5,3,14,13,21,3,7,4,5,5,8,8,8,0,4,15,10,11,18,14,14,18,15,10,4,9,11,11,21,4,20,11,5,14,18,8,6,4,8,17,7,1,23,16,8,16,22,7,10,19,9,3,8,7,12,11,8,15,5,20,11,11,13,12,17,19,10,24
Wind speed (knots),06h,13,13,17,15,14,11,9,25,17,19,18,13,9,11,9,15,8,21,22,10,21,17,28,18,13,11,11,7,10,10,8,12,6,6,8,2,16,12,16,23,8,7,11,6,12,11,10,9,2,9,9,6,16,4,15,14,3,8,16,26,12,22,21,18,25,24,9,14,11,23,16,17,10,8,22,2,23,7,7,13,10,14,8,9,6,7,7,6,4,7,5,7,13,5,3,6,10,9,4,7,5,13,23,28,22,15,16,11,6,8,7,7,9,11,5,10,15,9,4,9,5,9,9,8,7,10,23,20,15,6,6,10,11,9,10,2,13,6,1,19,14,12,6,6,13,14,9,8,12,6,10,8,6,14,14,16,9,12,6,10,15,11,9,6,7,4,6,11,6,4,11,8,8,15,15,3,9,14,12,12,7,8,3,8,9,16,12,10,3,4,1,2,5,7,5,7,14,6,18,6,8,7,14,13,4,15,13,10,9,11,7,5,6,6,5,8,3,7,8,9,6,2,10,4,7,6,10,15,15,13,14,10,6,13,9,7,4,17,17,12,7,4,11,7,6,14,10,12,12,8,12,8,7,13,12,8,6,13,16,15,17,10,10,9,6,8,9,10,13,12,8,6,17,18,13,7,10,5,8,16,8,7,6,13,13,7,13,14,11,10,4,10,5,3,7,4,7,5,10,12,13,7,10,13,8,6,7,7,3,1,6,7,3,5,5,4,6,12,12,14,4,7,11,11,7,9,6,8,9,8,5,5,19,10,20,7,7,1,5,5,10,8,8,1,5,14,9,14,18,13,14,19,13,10,6,10,13,7,20,4,14,12,5,14,16,10,6,5,8,16,9,4,24,20,9,13,21,6,13,18,9,4,8,10,14,10,9,16,6,13,13,13,12,14,20,19,19,26
Wind speed (knots),09h,13,12,19,19,14,11,10,24,16,18,18,16,15,10,11,15,10,27,21,7,22,23,28,18,16,11,10,8,11,9,9,12,6,6,9,4,14,12,17,22,8,8,11,5,12,12,8,9,3,12,10,7,15,1,11,13,2,8,18,26,10,19,19,13,29,20,10,12,12,26,10,16,11,8,17,3,22,10,12,15,10,15,9,9,7,6,7,6,3,5,5,8,10,4,1,5,12,8,4,7,7,17,24,26,22,14,15,9,5,7,7,6,8,9,7,13,17,12,3,12,8,10,10,11,6,8,26,19,13,2,5,9,11,9,8,5,13,7,4,20,15,13,5,10,15,16,9,6,13,4,8,7,5,16,14,18,9,12,4,10,16,10,9,6,4,2,5,7,7,5,13,8,9,16,15,4,8,15,13,12,3,8,2,7,11,17,10,10,6,4,3,1,4,6,6,8,16,7,16,8,7,8,12,12,8,15,16,10,7,10,7,3,6,4,6,9,1,12,3,11,6,1,10,6,7,8,11,15,14,13,14,9,6,13,10,6,5,18,14,11,7,6,16,6,6,12,9,12,10,8,11,6,9,14,11,7,7,14,16,15,16,8,6,8,7,7,9,10,12,12,7,7,16,16,14,6,11,4,7,15,4,4,5,12,12,9,15,12,9,7,4,8,2,3,5,2,8,7,10,11,12,4,11,12,8,5,6,5,1,2,5,9,2,5,4,5,8,13,14,13,3,7,12,8,6,10,6,7,11,8,4,7,15,11,16,9,7,1,4,7,12,9,8,1,4,15,8,15,18,15,16,17,11,9,7,10,16,4,20,2,11,11,2,16,17,9,4,6,12,13,9,6,19,18,11,11,17,4,14,19,8,5,9,11,15,9,8,10,9,10,11,21,13,15,23,22,13,22
Wind speed (knots),12h,14,10,21,22,15,8,17,22,15,17,15,22,15,7,12,12,11,29,19,8,21,28,29,20,16,10,7,6,9,8,9,11,5,5,11,9,11,13,16,20,9,10,13,5,12,11,9,6,3,7,11,8,16,8,4,10,3,8,19,25,11,16,18,11,27,17,11,11,15,10,12,12,9,15,20,9,21,12,10,18,12,13,7,5,4,3,5,4,6,4,4,6,5,1,4,3,10,5,3,7,6,20,25,27,20,18,15,6,3,4,5,3,9,8,6,14,12,9,4,12,8,9,9,7,2,10,27,21,13,6,5,10,12,11,6,8,14,8,8,20,17,12,6,10,15,16,9,6,13,4,9,7,3,20,14,20,10,12,5,10,14,7,8,5,2,8,5,8,9,10,13,10,12,19,12,8,11,16,13,14,4,7,4,10,14,18,10,8,4,6,4,5,6,10,10,8,18,11,15,12,8,9,15,14,11,16,16,11,12,9,8,4,7,6,9,10,5,14,2,11,6,6,10,7,10,11,13,18,15,14,16,10,6,13,12,7,9,19,15,11,3,8,17,7,10,14,11,14,11,9,12,8,8,16,13,9,11,16,18,17,17,9,6,9,7,9,12,9,14,12,9,10,19,17,16,7,13,7,10,17,4,5,7,15,13,11,18,14,12,8,3,4,6,5,5,4,9,8,13,12,13,5,14,11,2,2,5,1,3,1,2,9,4,4,3,6,11,15,15,13,5,7,15,6,4,7,4,4,7,4,3,6,16,11,14,10,6,3,3,6,13,8,8,2,6,16,11,16,18,14,18,15,13,9,7,10,19,4,20,10,6,7,6,18,20,10,3,6,14,13,7,9,22,16,10,14,15,5,15,19,8,7,8,10,15,9,8,10,12,16,9,19,11,16,24,22,5,16
Wind speed (knots),15h,16,12,24,22,16,9,18,23,17,18,12,24,15,6,14,13,13,28,19,12,19,23,29,22,16,10,6,6,6,5,7,8,3,2,12,4,9,11,17,12,9,11,14,8,13,12,9,6,4,7,7,9,15,12,9,8,6,8,18,24,12,14,18,10,26,15,12,11,17,18,19,10,17,21,21,12,20,14,11,20,13,14,6,3,5,2,2,3,7,7,3,4,3,3,5,2,8,3,6,13,9,22,27,25,20,19,16,6,2,5,2,4,12,6,3,14,8,5,10,12,7,6,7,4,8,13,29,23,15,11,10,13,13,13,8,12,15,9,12,19,19,13,7,14,17,16,10,5,13,7,11,9,5,20,13,21,12,12,8,15,16,10,12,8,8,9,8,9,6,14,13,11,12,20,13,11,11,17,15,16,6,8,10,12,15,21,13,5,10,8,5,5,9,11,10,9,17,14,14,12,8,13,17,16,11,19,16,14,14,10,9,10,8,9,10,11,7,16,4,11,8,8,11,9,11,13,16,20,16,17,17,13,10,15,11,11,12,22,18,12,9,9,17,9,13,16,13,17,14,11,14,10,14,17,14,11,13,17,18,17,20,13,12,12,9,11,14,13,17,15,12,13,22,18,17,10,15,10,15,19,9,10,11,17,12,14,20,15,15,11,8,8,6,8,6,9,12,17,18,15,13,9,16,13,6,9,6,8,5,7,7,9,8,7,5,7,13,18,17,13,8,11,16,9,5,3,4,7,4,3,6,8,17,11,12,10,7,6,2,4,13,8,7,5,8,17,11,16,17,15,18,16,15,10,7,12,19,5,23,19,7,7,9,17,12,9,5,6,19,11,7,13,21,15,12,16,14,6,16,18,8,8,7,9,15,8,8,10,14,22,7,11,11,18,25,15,11,12
Wind speed (knots),18h,18,15,24,18,17,9,20,21,19,15,9,19,13,6,13,10,13,23,19,17,18,23,28,22,16,11,12,8,5,4,7,5,6,3,13,2,9,11,21,7,4,8,11,9,11,13,8,6,3,10,11,9,13,14,12,7,6,9,20,23,12,14,20,12,25,12,13,14,18,14,26,8,19,19,19,13,22,12,10,20,14,15,7,5,8,5,7,6,7,5,5,9,7,5,5,4,8,4,6,13,9,20,27,22,18,17,17,10,7,10,4,7,12,9,3,12,1,5,12,11,4,1,3,9,13,14,29,24,15,12,13,15,11,13,7,15,16,9,12,13,20,12,9,11,15,14,6,15,13,8,11,12,9,20,11,20,12,13,9,15,16,15,14,13,10,8,11,9,9,13,10,11,12,21,14,11,10,16,15,16,5,7,6,13,16,21,16,12,13,7,5,7,8,10,9,10,14,13,13,13,8,15,18,15,12,14,17,15,13,11,9,9,8,8,10,10,9,17,5,11,6,8,10,9,10,13,17,19,17,17,16,14,11,14,11,11,13,23,20,14,11,7,17,10,13,16,13,17,13,12,12,11,14,18,14,11,15,15,17,17,19,13,12,10,9,10,12,15,16,14,12,14,21,17,17,9,12,10,16,18,10,9,14,16,11,13,18,16,16,14,11,8,6,9,5,9,11,17,19,11,11,12,15,13,10,13,12,9,3,10,9,8,6,6,6,7,11,17,16,9,10,14,17,11,9,0,6,8,6,6,7,7,16,17,8,9,5,7,4,1,12,8,5,5,8,17,11,14,17,14,19,21,14,8,7,12,20,5,22,7,9,7,9,17,14,9,7,6,17,11,6,16,18,12,11,16,13,6,17,18,4,8,6,9,14,7,11,8,14,17,2,16,11,23,22,3,27,12
Wind speed (knots),21h,20,16,22,21,16,7,26,16,17,17,10,18,13,4,15,9,16,23,18,18,15,21,25,21,15,12,11,8,9,4,8,6,7,5,14,13,9,11,21,8,2,11,10,10,9,13,8,6,4,10,7,12,11,16,13,7,4,12,22,20,16,18,24,17,23,11,13,13,20,20,32,5,19,17,14,15,18,12,9,15,12,15,8,7,10,6,10,8,7,5,4,12,8,5,7,6,10,4,7,11,9,19,26,19,17,18,17,9,8,11,4,9,11,7,7,10,2,2,11,9,8,4,5,10,13,19,26,-,12,10,12,14,12,12,9,14,13,7,12,9,17,11,9,11,14,12,5,19,10,9,10,12,10,19,10,17,12,10,7,16,15,15,14,13,9,7,12,10,9,15,7,8,9,19,12,8,14,16,14,13,7,2,11,12,15,19,16,15,12,6,3,7,7,7,7,10,11,12,10,12,5,14,16,15,13,12,15,16,12,11,9,7,7,7,7,6,4,15,6,7,4,6,8,7,7,13,18,17,16,16,15,11,12,13,10,9,16,22,18,13,9,6,14,8,13,16,13,16,11,10,13,7,13,17,13,9,15,15,17,17,17,13,11,8,8,11,13,15,16,14,10,16,21,15,14,9,9,8,16,16,9,7,14,16,8,12,17,15,14,12,12,7,5,8,6,8,9,14,17,7,9,7,13,10,11,13,12,9,5,11,9,6,3,6,3,5,11,14,16,8,8,13,17,10,8,2,9,8,8,7,6,10,15,26,6,9,4,7,5,3,9,8,4,5,14,15,11,15,17,13,17,16,13,7,7,11,20,5,15,6,9,7,11,18,10,4,6,8,3,9,5,18,18,10,11,19,13,6,17,17,4,8,6,10,13,7,14,7,18,14,4,11,14,29,21,8,27,11
Wave (m),00h,1.6,3.4,2.3,5.1,4.7,2.5,1.5,3.9,5.9,5.4,4.3,2.6,3.5,2.9,5.1,3.2,3.6,3,4.6,3,2.7,4.5,6,7.9,4.8,3,2.1,3.4,3.6,2.8,1.9,1.4,1.3,2.6,1.7,2.4,2.1,1.5,1.8,3.3,3.2,2.7,1.9,3.3,2.7,3.3,2.8,2.2,2,1.6,2.2,2.2,3.8,3.8,2.8,5,4.7,4.8,6.6,7.3,8.7,6.3,4.4,5.4,6.1,8.7,6.4,3.4,4.3,3.8,4.4,4.9,6.6,4.2,3.6,7.1,5.4,5.5,3.4,2.2,3.4,3.8,2.8,1.7,1.6,2.2,1.5,1.5,2.4,2.2,2.3,1.9,2.6,2,1.5,1.4,1.3,1.5,1.1,1.5,2.8,2.7,2.9,8,7,4.4,3.3,2.7,3.1,2.5,1.8,1.8,1.5,1.8,2.3,1.7,2.5,1.5,0.9,1.5,2.5,1.9,1.3,1.3,1.6,1.8,2.6,4.8,4.1,2.2,1.6,1.4,2,1.5,1.9,1.7,1.7,3,2.1,2.5,3.7,3.2,2.3,2.1,4,4.4,3,1.8,2.2,2.2,1.8,1.7,1.6,1.4,2.8,3.1,3.1,2.2,3,2.1,2.2,2.5,3,2.5,2.2,1.8,1.5,1.5,2.5,2.8,2.1,2.2,2,1.7,3.1,2.8,2.9,3,3,2.2,2,1.6,1.1,1.3,2.2,2.3,2.8,2.6,1.9,1.4,1.3,1.5,1.3,0.9,1.1,1.1,1.4,2,1.5,3.5,1.9,1.8,1.9,2,2.1,2.2,2.5,2,2,2.1,2.3,1.9,1.1,0.6,0.6,0.8,1.2,1,2.2,1.7,1.5,1.6,1.3,1.1,1,0.9,1.7,2,2.4,2.8,2.5,1.6,0.8,1.3,1.6,2.5,2.2,1.8,2.9,2.5,1.7,1.3,1.1,2.2,1.9,1.6,1.8,1.6,2.1,1.5,1.3,1.7,1.2,1.8,1.8,1.5,1.6,2.4,2.8,2.4,3,2.8,1.8,1.6,1.3,1.2,1,1.1,1.4,1.5,1.3,1,1.7,3,2.5,2,1.6,2.3,1.7,2.3,3.1,2.9,2,1.5,2.5,2.4,2.2,2.2,2.2,1.9,1.6,1.6,1.9,2.2,1.4,1.1,0.8,1.4,2.6,2.9,2.2,1.7,0.9,1.8,1.7,1.5,2,1.5,1.4,1.4,1.2,1.1,0.9,0.8,1.2,1,1.5,1.5,2.2,2.6,2.4,1.8,1.6,1.7,1.7,1.8,1.6,1.3,1.2,1.4,1,1.3,1.3,3.9,6,4.4,2.1,2,2.2,2.6,3.5,2.2,1.9,3.3,3,2.1,2.9,3.4,5.4,5.6,3.7,4.7,5.7,3.2,1.9,2,3,3.8,4.6,4.9,3.3,2.5,1.6,2.5,3.8,4.6,6.2,4.8,2.9,3.1,3.7,3.2,3.1,5.1,3.9,2.4,4.5,5,2.8,3.7,4.8,3.3,2.8,5,3.5,2.9,2.8,2.1,2.1,2.9,4.8,3.5,2.8,2.7,2.7,5.8,4.4,4.4
