0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
GFS 13 km,Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind speed (knots),Wind direction,Wind direction,Wind direction,Wind direction,Wind direction,Wind direction,Wind direction,Wind direction,Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave (m),Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave direction,Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Wave period (s),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h),Rain (mm/1h)
GFS 13 km,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h,00h,03h,06h,09h,12h,15h,18h,21h
22.02.2009,12,12,13,10,5,3,7,8,,,,,,,,,2.6,2.6,2.6,2.5,2.4,2.3,2.2,2.1,,,,,,,,,15,15,14,14,14,13,13,13,14,13,13,13,15,17,15,14,,,,,,,,
23.02.2009,6,5,5,4,1,3,5,5,,,,,,,,,2,1.9,1.9,1.8,1.7,1.7,1.6,1.6,,,,,,,,,13,13,12,12,12,12,11,11,13,13,12,13,16,16,14,13,,,,,,,,
24.02.2009,5,4,3,1,4,5,5,7,,,,,,,,,1.5,1.5,1.4,1.4,1.3,1.3,1.4,1.4,,,,,,,,,11,11,11,11,10,10,10,14,12,12,11,14,16,16,14,13,,,,,,,,
25.02.2009,7,6,6,5,3,2,4,6,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,,,,,,,,,13,13,13,13,12,12,12,12,13,12,12,13,16,17,15,14,,,,,,,,
26.02.2009,6,8,10,12,10,8,8,10,,,,,,,,,1.3,1.2,1.2,1.4,1.3,1.4,1.4,1.5,,,,,,,,,12,12,12,12,12,11,11,11,14,13,13,13,15,17,16,15,,,,,,,,
27.02.2009,8,8,9,8,5,3,4,4,,,,,,,,,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1.1,,,,,,,,,11,11,11,11,11,11,11,11,14,13,12,13,15,16,14,14,,,,,,,,
28.02.2009,3,2,4,4,3,6,6,7,,,,,,,,,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,,,,,,,,,11,11,11,11,11,12,12,12,13,12,13,13,13,13,13,12,,0.2,0.4,0.7,1.2,0.3,,
01.03.2009,5,4,7,7,7,13,13,11,,,,,,,,,1.5,1.7,1.9,2.1,2.2,2.3,2.4,2.6,,,,,,,,,12,12,14,14,14,13,13,13,12,11,12,13,14,14,13,12,,,0.2,0.4,0.7,0.7,,
02.03.2009,7,6,5,7,6,9,9,9,,,,,,,,,2.8,2.9,2.8,2.7,2.7,2.6,2.6,2.7,,,,,,,,,12,12,12,12,11,11,11,11,12,11,10,11,14,14,13,12,,,,,,0.2,0.4,
03.03.2009,9,10,13,17,20,22,20,19,,,,,,,,,2.7,2.7,2.8,2.8,3.1,3.2,3.2,3.1,,,,,,,,,11,11,10,10,10,8,8,8,12,11,11,11,14,14,12,12,,,,,,,,
04.03.2009,16,18,23,24,25,27,27,26,,,,,,,,,2.9,2.7,3,3.6,4.2,5.1,6.2,7.2,,,,,,,,,8,9,7,8,8,9,11,14,13,13,14,14,14,14,14,14,,,0.7,0.3,,,,
05.03.2009,28,30,28,26,27,25,22,19,,,,,,,,,8,8.4,8.5,8.4,8.2,8,7.7,7.3,,,,,,,,,15,16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,0.1,0.4,0.2,,,,,
06.03.2009,16,16,22,22,20,20,18,17,,,,,,,,,7,6.5,6.1,5.8,5.4,5.2,4.9,4.6,,,,,,,,,14,14,14,13,13,13,13,12,14,14,14,14,15,15,14,14,,,,0.1,,,,
07.03.2009,15,17,15,14,18,19,17,18,,,,,,,,,4.4,4.2,3.9,3.8,3.6,3.5,3.4,3.3,,,,,,,,,12,12,12,12,11,11,11,11,14,14,14,14,15,16,15,14,,,,,,,,
08.03.2009,17,15,16,15,15,16,17,17,,,,,,,,,3.3,3.2,3.2,3.1,3,2.9,2.8,2.8,,,,,,,,,11,11,11,11,11,12,12,12,14,13,13,14,15,15,13,13,,,,,,,,
09.03.2009,16,13,11,9,6,6,10,9,,,,,,,,,2.7,2.7,2.6,2.6,2.7,2.8,3,3.1,,,,,,,,,12,11,11,11,14,14,14,14,13,13,12,13,16,18,17,15,,,,,,,,
10.03.2009,8,6,6,5,3,2,7,8,,,,,,,,,3.1,3.1,3.1,3.1,3,2.8,2.7,2.6,,,,,,,,,14,13,13,12,12,12,12,11,15,14,14,15,18,18,17,15,,,,,,,,
11.03.2009,7,6,8,7,4,5,10,11,,,,,,,,,2.5,2.3,2.2,2.1,2,1.9,1.9,1.8,,,,,,,,,11,11,11,11,11,11,11,11,15,15,14,15,18,19,17,16,,,,,,,,
12.03.2009,8,7,7,7,5,2,4,4,,,,,,,,,1.8,1.7,1.6,1.6,1.6,1.7,1.8,1.8,,,,,,,,,10,10,10,10,10,13,13,13,15,15,14,15,18,19,18,16,,,,,,,,
13.03.2009,7,6,7,6,3,4,7,9,,,,,,,,,1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.4,,,,,,,,,12,12,12,11,11,11,11,11,17,16,14,15,18,18,17,16,,,,,,,,
14.03.2009,11,9,9,8,9,12,12,11,,,,,,,,,1.5,1.6,1.6,1.5,1.5,1.5,1.6,1.7,,,,,,,,,11,11,11,11,11,11,10,10,16,15,14,15,18,18,16,15,,,,,,,,
15.03.2009,11,10,11,9,8,6,9,7,,,,,,,,,1.8,1.9,2.3,2.4,2.6,2.6,2.6,2.5,,,,,,,,,10,13,13,12,12,12,11,11,15,14,14,15,18,19,18,17,,,,,,,,
16.03.2009,7,5,5,7,6,3,3,7,,,,,,,,,2.3,2.2,2,1.9,1.7,1.6,1.5,1.6,,,,,,,,,11,11,11,11,10,10,10,10,16,16,15,17,19,20,20,18,,,,,,,,
17.03.2009,9,10,10,13,14,14,12,10,,,,,,,,,1.7,1.9,2.2,2.4,2.5,2.5,2.5,2.5,,,,,,,,,14,14,13,13,13,13,13,12,18,16,15,15,19,20,19,17,,,,,,,,
18.03.2009,10,13,15,17,12,8,1,2,,,,,,,,,2.5,2.5,2.4,2.5,2.3,2.1,1.9,1.7,,,,,,,,,12,12,12,11,11,11,11,11,16,14,13,14,17,19,18,14,,,,,,,,
19.03.2009,2,5,9,12,9,5,5,2,,,,,,,,,1.5,1.4,1.3,1.3,1.2,1.1,1,0.9,,,,,,,,,11,11,11,11,11,11,11,11,13,13,13,14,16,18,16,14,,,,,,,,
20.03.2009,2,1,4,3,4,10,12,11,,,,,,,,,0.9,0.8,0.8,0.8,0.8,0.9,1.2,1.4,,,,,,,,,11,11,11,11,11,11,11,11,13,13,14,16,18,18,16,15,,,,,,,,
21.03.2009,10,9,9,12,12,12,11,9,,,,,,,,,1.5,1.5,1.5,1.6,1.9,2.1,2.2,2.4,,,,,,,,,10,10,10,10,10,6,7,8,15,14,14,15,16,16,14,13,,,,,,,,
22.03.2009,7,5,5,8,8,7,4,8,,,,,,,,,2.5,2.6,2.6,2.5,2.3,2.2,2.1,2,,,,,,,,,9,10,10,10,10,10,10,10,12,12,13,15,17,18,16,14,,,,,,,,
